Date;Location;Tournament Stage Id;Tournament Stage Name;Tournament Stage Cut;Tournament Stage Evaluation;Game Start;Game End;Season;Event Name;Tournament Stage Cut Basis
2026-04-25;Dream Bowl Palace Unterföhring;1;Vorlauf;80;Scratch Total;1;6;25/26;Südbayerische Meisterschaft;overall_total
2026-04-26;Dream Bowl Palace Unterföhring;2;Zwischenlauf;40;Scratch Total;7;12;25/26;Südbayerische Meisterschaft;overall_total
2026-04-27;Dream Bowl Palace Unterföhring;3;Finale;12;Scratch Total;13;18;25/26;Südbayerische Meisterschaft;overall_total
2026-04-25;Bowlinghaus Bamberg;1;Vorlauf;72;Scratch Total;1;6;25/26;Nordbayerische Meisterschaft;overall_total
2026-04-26;Bowlinghaus Bamberg;2;Zwischenlauf;36;Scratch Total;7;12;25/26;Nordbayerische Meisterschaft;overall_total
2026-04-27;Bowlinghaus Bamberg;3;Finale;12;Scratch Total;13;18;25/26;Nordbayerische Meisterschaft;overall_total
